Titles,Type,Episodes,Episode duration,Year,Demographic,Genres,Theme,Studio,Source,Members,Score
Wolf's Rain OVA,OVA,4 eps,23 min ,2004,,"Adventure,Drama,Sci-Fi,Supernatural",Psychological,Bones,Original,64K,8
Nobunagun,TV,13 eps,24 min ,2014,,"Action,Sci-Fi",Super Power,Bridge,Manga,64K,6.67
Date A Bullet: Nightmare or Queen,Movie,1 ep,29 min ,2020,,Sci-Fi,Isekai,Geek Toys,Light novel,63K,7.63
Fushigi no Umi no Nadia,TV,39 eps,25 min ,1990,,"Adventure,Comedy,Romance,Sci-Fi",Historical,Gainax,Original,63K,7.52
Karas,OVA,6 eps,30 min ,2005,,"Action,Fantasy,Sci-Fi",Gore,Tatsunoko Production,Original,62K,7.38
Godzilla: S.P,TV,13 eps,23 min ,2021,,"Action,Mystery,Sci-Fi",Mecha,Bones,Original,62K,6.65
Revisions,TV,12 eps,22 min ,2019,,"Action,Sci-Fi",Mecha,Shirogumi,Original,62K,6.03
Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,Movie,1 ep,58 min ,2013,,Sci-Fi,Adult Cast,Production I.G,Manga,61K,7.44
Listeners,TV,12 eps,24 min ,2020,,Sci-Fi,Mecha,MAPPA,Original,61K,5.37
Mahoromatic: Automatic Maiden,TV,12 eps,24 min ,2001,Seinen,"Comedy,Romance,Sci-Fi,Ecchi",Military,Gainax,Manga,60K,7.15
Dragon Ball Movie 2: Majinjou no Nemurihime,Movie,1 ep,45 min ,1987,Shounen,"Action,Adventure,Comedy,Fantasy,Sci-Fi",Super Power,Toei Animation,Manga,60K,6.74
AKB0048,TV,13 eps,23 min ,2012,,Sci-Fi,Idols (Female),Satelight,Original,60K,7.36
Terra e... (TV),TV,24 eps,24 min ,2007,Shounen,"Action,Drama,Sci-Fi",Military,Minami Machi Bugyousho,Manga,60K,7.89
Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,Special,1 ep,29 min ,2012,,"Comedy,Sci-Fi",,Shaft,Light novel,59K,7.29
Kidou Senshi Gundam 00 Movie: A Wakening of the Trailblazer,Movie,1 ep,120 min ,2010,,"Action,Sci-Fi",Mecha,Sunrise,Original,59K,7.3
Godzilla 1: Kaijuu Wakusei,Movie,1 ep,87 min ,2017,,"Action,Adventure,Sci-Fi",,Polygon Pictures,Original,59K,6.44
Kono Minikuku mo Utsukushii Sekai,TV,12 eps,24 min ,2004,,"Comedy,Drama,Romance,Sci-Fi,Ecchi",,Gainax,Original,59K,6.72
Tokyo 24-ku,TV,12 eps,24 min ,2022,,"Mystery,Sci-Fi",Super Power,CloverWorks,Original,59K,6.35
Gunslinger Girl: Il Teatrino,TV,13 eps,25 min ,2008,,"Action,Drama,Sci-Fi",Military,Artland,Manga,59K,7.13
7 Seeds 2nd Season,ONA,12 eps,24 min ,2020,Shoujo,"Adventure,Drama,Mystery,Romance,Sci-Fi",Psychological,Gonzo,Manga,59K,7.07
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,TV,12 eps,24 min ,2016,,"Comedy,Sci-Fi",Detective,Production IMS,Original,58K,5.86
IS: Infinite Stratos 2 - Hitonatsu no Omoide,OVA,1 ep,39 min ,2013,,"Action,Comedy,Sci-Fi",Harem,8bit,Light novel,58K,6.86
Dragon Ball Movie 4: Saikyou e no Michi,Movie,1 ep,74 min ,1996,Shounen,"Action,Adventure,Comedy,Fantasy,Sci-Fi",Super Power,Toei Animation,Manga,58K,7.12
Shangri-La,TV,24 eps,23 min ,2009,,"Action,Drama,Sci-Fi",,Gonzo,Novel,58K,7.05
Harmony,Movie,1 ep,119 min ,2015,,Sci-Fi,Adult Cast,Studio 4°C,Novel,57K,6.9
Doraemon (1979),TV,1787 eps,11 min ,1979,Kids,"Adventure,Comedy,Fantasy,Sci-Fi",Anthropomorphic,Shin-Ei Animation,Manga,57K,7.78
Shin Kidou Senki Gundam Wing: Endless Waltz Special,Movie,1 ep,94 min ,1998,,"Action,Drama,Sci-Fi",Mecha,Sunrise,Original,57K,7.79
Brave Witches,TV,12 eps,23 min ,2016,,"Action,Sci-Fi,Ecchi",Military,SILVER LINK.,Original,57K,6.78
Senki Zesshou Symphogear G,TV,13 eps,23 min ,2013,,"Action,Sci-Fi",Idols (Female),Satelight,Original,57K,7.46
Gunnm,OVA,2 eps,30 min ,1993,Shounen,"Drama,Sci-Fi",Mecha,Madhouse,Manga,56K,7.07
Koi to Producer: EVOL×LOVE,TV,12 eps,24 min ,2020,Shoujo,"Mystery,Romance,Sci-Fi",Reverse Harem,MAPPA,Visual novel,56K,6.19
Kidou Tenshi Angelic Layer,TV,26 eps,24 min ,2001,Shounen,"Comedy,Drama,Sci-Fi,Sports",,Bones,Manga,56K,7.26
Hypnosis Mic: Division Rap Battle - Rhyme Anima,TV,13 eps,24 min ,2020,,"Action,Sci-Fi",Music,A-1 Pictures,Other,56K,6.81
Medarot,TV,52 eps,24 min ,1999,,"Adventure,Comedy,Sci-Fi",,Bee Train,Game,56K,7.08
Planet With,TV,12 eps,23 min ,2018,,"Action,Sci-Fi",Mecha,J.C.Staff,Original,56K,7.17
M3: Sono Kuroki Hagane,TV,24 eps,24 min ,2014,,"Action,Drama,Mystery,Sci-Fi",Mecha,Satelight,Original,55K,6.58
Haiyore! Nyaruko-san F,OVA,1 ep,27 min ,2015,,"Comedy,Romance,Sci-Fi",Parody,Xebec,Light novel,55K,7.45
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,OVA,6 eps,27 min ,1989,,"Drama,Sci-Fi",Mecha,Sunrise,Original,55K,7.95
Dragon Ball Movie 3: Makafushigi Daibouken,Movie,1 ep,45 min ,1988,Shounen,"Action,Adventure,Comedy,Fantasy,Sci-Fi",Super Power,Toei Animation,Manga,54K,6.83
Saint Seiya: Meiou Hades Juuni Kyuu-hen,OVA,13 eps,25 min ,2002,Shounen,"Adventure,Sci-Fi",,Toei Animation,Manga,54K,8.04
Ao no 6-gou,OVA,4 eps,32 min ,1998,Shounen,"Action,Adventure,Sci-Fi",Mecha,Gonzo,Manga,54K,7.02
Ginga Kikoutai Majestic Prince,TV,24 eps,23 min ,2013,Seinen,"Action,Sci-Fi",Mecha,Doga Kobo,Manga,54K,7.33
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,Special,1 ep,32 min ,2005,Shounen,"Action,Comedy,Sci-Fi",Historical,Sunrise,Manga,54K,8.08
Saredo Tsumibito wa Ryuu to Odoru,TV,12 eps,23 min ,2018,,"Action,Drama,Fantasy,Sci-Fi",,Seven Arcs Pictures,Light novel,53K,5.79
Galilei Donna,TV,11 eps,24 min ,2013,,"Action,Adventure,Sci-Fi",,A-1 Pictures,Original,52K,6.42
Vandread: The Second Stage,TV,13 eps,22 min ,2001,,"Action,Sci-Fi,Ecchi",Mecha,Gonzo,Original,52K,7.39
Under the Dog,OVA,1 ep,38 min ,2016,,"Action,Sci-Fi,Suspense",,Kinema Citrus,Original,52K,6.25
Captain Herlock,Movie,1 ep,115 min ,2013,,"Action,Drama,Sci-Fi",Space,Marza Animation Planet,Manga,51K,7.33
Kidou Senshi Gundam Thunderbolt,ONA,4 eps,18 min ,2015,,"Action,Drama,Sci-Fi",Mecha,Sunrise,Manga,51K,7.94
Kidou Senkan Nadesico,TV,26 eps,23 min ,1996,Shounen,"Action,Romance,Sci-Fi",Mecha,Xebec,Original,51K,7.5
Digimon Adventure 02: Diablomon no Gyakushuu,Movie,1 ep,30 min ,2001,Kids,"Adventure,Comedy,Drama,Sci-Fi",,Toei Animation,Original,51K,7.27
Tetsuwan Birdy Decode:02,TV,12 eps,23 min ,2009,Seinen,"Action,Comedy,Sci-Fi",,A-1 Pictures,Manga,50K,7.72
Seikai no Monshou,TV,13 eps,26 min ,1999,,"Action,Romance,Sci-Fi",Military,Sunrise,Light novel,50K,7.64
Tenchi Muyou! Ryououki,OVA,6 eps,29 min ,1992,,"Action,Comedy,Sci-Fi",Space,AIC,Original,50K,7.62
Neppuu Kairiku Bushi Road,Special,1 ep,93 min ,2013,,"Action,Fantasy,Sci-Fi",Mecha,Kinema Citrus,Mixed media,50K,7.17
Hacka Doll The Animation,TV,13 eps,7 min ,2015,,"Comedy,Sci-Fi",,Creators in Pack,Other,50K,6.37
Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers,Movie,1 ep,56 min ,2013,,Sci-Fi,Adult Cast,Production I.G,Manga,50K,7.49
Oban Star-Racers,TV,26 eps,25 min ,2006,,"Action,Adventure,Sci-Fi",Mecha,Hal Film Maker,Original,49K,7.5
Stand By Me Doraemon,Movie,1 ep,94 min ,2014,Kids,"Comedy,Sci-Fi",,Shin-Ei Animation,Manga,49K,8.08
KanColle: Itsuka Ano Umi de,TV,8 eps,23 min ,2022,,"Action,Sci-Fi,Slice of Life",Military,ENGI,Game,49K,6.88
Bubblegum Crisis,OVA,8 eps,41 min ,1987,,"Adventure,Sci-Fi",Adult Cast,AIC,Original,48K,7.31
Saint Seiya: Meiou Hades Meikai-hen,OVA,12 eps,25 min ,2005,Shounen,"Action,Adventure,Fantasy,Sci-Fi",Mythology,Toei Animation,Manga,48K,7.75
Zoids,TV,67 eps,25 min ,1999,,"Action,Adventure,Comedy,Sci-Fi",Mecha,Xebec,,48K,7.36
Dr. Stone: Stone Wars - Kaisen Zenya Special Eizou,Special,1 ep,22 min ,2020,Shounen,"Adventure,Sci-Fi,Suspense",Survival,TMS Entertainment,Manga,48K,7.16
Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,OVA,2 eps,30 min ,1993,Shounen,"Adventure,Comedy,Fantasy,Sci-Fi",,Toei Animation,Manga,47K,6.74
"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.",Special,1 ep,26 min ,2014,,"Drama,Romance,Sci-Fi",,J.C.Staff,Original,47K,7.17
ēlDLIVE,TV,12 eps,24 min ,2017,Shounen,"Action,Sci-Fi",Detective,Pierrot,Manga,47K,6.11
Onegai☆Teacher: Himitsu na Futari,OVA,1 ep,21 min ,2002,,"Comedy,Romance,Sci-Fi,Ecchi",,Daume,Original,47K,7.29
86 Special Edition: Senya ni Akaku Hinageshi no Saku,Special,1 ep,23 min ,2021,,"Action,Drama,Sci-Fi",Military,A-1 Pictures,Light novel,47K,6.85
Yakusoku no Neverland: Michishirube,Special,1 ep,23 min ,2021,Shounen,"Mystery,Sci-Fi,Suspense",Psychological,CloverWorks,Manga,47K,4.69
Shin Kidou Senki Gundam Wing: Endless Waltz,OVA,3 eps,30 min ,1997,,"Action,Drama,Sci-Fi",Mecha,Sunrise,Original,47K,7.74
Dolls' Frontline,TV,12 eps,24 min ,2022,,"Action,Drama,Sci-Fi",Military,Asahi Production,Game,46K,5.88
RideBack,TV,12 eps,24 min ,2009,Seinen,"Action,Drama,Sci-Fi",Mecha,Madhouse,Manga,46K,7.27
Cowboy Bebop: Yose Atsume Blues,Special,1 ep,27 min ,1998,,Sci-Fi,Adult Cast,Sunrise,Original,46K,7.42
Soukyuu no Fafner: Dead Aggressor,TV,25 eps,24 min ,2004,,"Action,Drama,Sci-Fi",Mecha,Xebec,Original,46K,7.26
Bakuten Shoot Beyblade G Revolution,TV,52 eps,20 min ,2003,Shounen,"Action,Adventure,Comedy,Sci-Fi,Sports",,Nippon Animation,Manga,46K,6.94
Mirai Shounen Conan,TV,26 eps,29 min ,1978,,"Adventure,Drama,Sci-Fi",,Nippon Animation,Novel,46K,8.09
Musekinin Kanchou Tylor,TV,26 eps,23 min ,1993,,"Comedy,Sci-Fi",Adult Cast,Tatsunoko Production,Light novel,46K,7.86
Azur Lane: Bisoku Zenshin!,TV,12 eps,8 min ,2021,,"Comedy,Sci-Fi,Slice of Life",CGDCT,CANDY BOX,4-koma manga,46K,7.04
Asobi ni Iku yo!: Asobi ni Oide,OVA,1 ep,28 min ,2011,,"Comedy,Romance,Sci-Fi,Ecchi",Harem,AIC PLUS+,Light novel,46K,6.75
Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,Special,1 ep,23 min ,2011,Shounen,"Action,Comedy,Fantasy,Sci-Fi",Super Power,Toei Animation,Manga,45K,7.52
Shiyan Pin Jiating,ONA,12 eps,15 min ,2018,,"Sci-Fi,Slice of Life",,Big Firebird Culture,Web manga,45K,6.32
Sengoku Otome: Momoiro Paradox,TV,13 eps,23 min ,2011,,"Action,Comedy,Sci-Fi",Historical,TMS Entertainment,Game,45K,6.57
Koukaku Kidoutai: Shin Movie,Movie,1 ep,100 min ,2015,,"Action,Mystery,Sci-Fi",Adult Cast,Production I.G,Manga,45K,7.44
Planetarian: Hoshi no Hito,Movie,1 ep,117 min ,2016,,"Drama,Sci-Fi",,David Production,Visual novel,45K,7.83
Kidou Senshi Gundam: Gyakushuu no Char,Movie,1 ep,119 min ,1988,,"Drama,Sci-Fi",Mecha,Sunrise,Novel,45K,7.65
Macross Plus,OVA,4 eps,39 min ,1994,,"Drama,Romance,Sci-Fi",Adult Cast,Triangle Staff,Original,45K,7.71
Basquash!,TV,26 eps,24 min ,2009,,"Sci-Fi,Sports",Mecha,Satelight,Original,45K,7.21
Senki Zesshou Symphogear GX,TV,13 eps,23 min ,2015,,"Action,Sci-Fi",Idols (Female),Satelight,Original,45K,7.44
Macross: Do You Remember Love?,Movie,1 ep,115 min ,1984,,"Action,Romance,Sci-Fi",Mecha,Artland,Original,45K,7.95
Kiddy Grade,TV,24 eps,23 min ,2002,,"Action,Sci-Fi,Ecchi",Mecha,Gonzo,Original,44K,7.19
To LOVE-Ru: Multiplication - Mae kara Ushiro kara,OVA,1 ep,12 min ,2017,Shounen,"Comedy,Romance,Sci-Fi,Ecchi",Harem,Xebec,Manga,44K,7.16
Digimon Adventure 02 Movies,Movie,2 eps,32 min ,2000,Kids,"Adventure,Fantasy,Sci-Fi",,Toei Animation,Original,44K,7.1
Gyakusatsu Kikan,Movie,1 ep,114 min ,2017,,Sci-Fi,Military,Geno Studio,Novel,44K,7.13
Koukaku no Pandora,TV,12 eps,24 min ,2016,,"Action,Comedy,Sci-Fi,Ecchi",,AXsiZ,Manga,44K,6.5
Koukyoushihen Eureka Seven: Pocket ga Niji de Ippai,Movie,1 ep,115 min ,2009,,"Adventure,Romance,Sci-Fi",Mecha,Bones,Original,44K,7.14
Persona 4 the Animation: No One is Alone,Special,1 ep,30 min ,2012,,"Adventure,Mystery,Sci-Fi,Supernatural",School,AIC ASTA,Game,44K,7.49
Turn A Gundam,TV,50 eps,24 min ,1999,,"Action,Adventure,Drama,Romance,Sci-Fi",Mecha,Nakamura Production,Original,44K,7.73
Last Exile: Ginyoku no Fam,TV,21 eps,24 min ,2011,,"Action,Adventure,Sci-Fi",,Gonzo,Original,44K,7.07
Koukaku Kidoutai Arise: Ghost in the Shell - Border:3 Ghost Tears,Movie,1 ep,58 min ,2014,,Sci-Fi,Adult Cast,Production I.G,Manga,43K,7.35
Yu☆Gi☆Oh! VRAINS,TV,120 eps,24 min ,2017,Shounen,"Action,Fantasy,Sci-Fi",Strategy Game,Gallop,Card game,43K,6.65
Night Head 2041,TV,12 eps,22 min ,2021,,"Drama,Mystery,Sci-Fi,Supernatural",Psychological,Shirogumi,Other,43K,6.52
Ouritsu Uchuugun: Honneamise no Tsubasa,Movie,1 ep,121 min ,1987,,"Action,Drama,Sci-Fi",Military,Gainax,Original,42K,7.48
Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!,Special,1 ep,24 min ,2008,,"Action,Adventure,Comedy,Sci-Fi",Mecha,Gainax,Original,42K,7.35
Mugen no Ryvius,TV,26 eps,23 min ,1999,,"Drama,Sci-Fi",Mecha,Sunrise,Original,42K,7.43
Gundam Build Fighters Try,TV,25 eps,25 min ,2014,,"Action,Sci-Fi",Mecha,Sunrise,Original,42K,7.21
Gokukoku no Brynhildr: Kara Sawagi,Special,1 ep,20 min ,2014,Seinen,"Comedy,Sci-Fi,Ecchi",Harem,Arms,Manga,42K,6.59
Kurogane no Linebarrels,TV,24 eps,23 min ,2008,,"Action,Sci-Fi",Mecha,Gonzo,Manga,42K,6.91
DNA²,TV,12 eps,23 min ,1994,Shounen,"Comedy,Romance,Sci-Fi",Time Travel,Madhouse,Manga,42K,6.64
Koukaku Kidoutai Arise: Alternative Architecture,TV,10 eps,24 min ,2015,,Sci-Fi,Adult Cast,Production I.G,Manga,42K,7.23
Gintama: Yorinuki Gintama-san on Theater 2D,Movie,2 eps,96 min ,2012,Shounen,"Action,Comedy,Sci-Fi",Gag Humor,Sunrise,Manga,41K,8.43
Tribe Nine,TV,12 eps,23 min ,2022,,"Sci-Fi,Sports",Team Sports,LIDENFILMS,Mixed media,41K,6.07
Kidou Senshi Gundam 0083: Stardust Memory,OVA,13 eps,30 min ,1991,,"Adventure,Drama,Romance,Sci-Fi",Mecha,Sunrise,Original,41K,7.26
Gintama: Shinyaku Benizakura-hen,Special,1 ep,11 min ,2010,Shounen,"Action,Comedy,Sci-Fi",Historical,Sunrise,Manga,41K,8.29
Accel World: Acchel World.,Special,8 eps,3 min ,2012,,"Comedy,Sci-Fi",,J.C.Staff,4-koma manga,41K,6.18
Deep Insanity: The Lost Child,TV,12 eps,24 min ,2021,,Sci-Fi,,SILVER LINK.,Other,41K,5.57
Strike Witches Movie,Movie,1 ep,97 min ,2012,,"Action,Sci-Fi,Ecchi",Military,AIC,Original,41K,7.58
Kemeko Deluxe!,TV,12 eps,24 min ,2008,Shounen,"Action,Comedy,Romance,Sci-Fi,Ecchi",School,Hal Film Maker,Manga,41K,6.55
Fragtime,Movie,1 ep,60 min ,2019,,"Girls Love,Romance,Sci-Fi",School,East Fish Studio,Manga,40K,6.54
"Suisei no Gargantia: Meguru Kouro, Haruka",OVA,2 eps,53 min ,2014,,"Action,Adventure,Sci-Fi",Mecha,Production I.G,Original,40K,7.36
Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku,OVA,1 ep,30 min ,2010,Shounen,"Adventure,Fantasy,Sci-Fi",Martial Arts,Toei Animation,Manga,40K,6.6
Halo Legends,ONA,8 eps,14 min ,2009,,"Action,Drama,Sci-Fi",Military,Bee Train,Game,40K,6.99
.hack//Quantum,OVA,3 eps,26 min ,2011,,"Action,Adventure,Fantasy,Sci-Fi",Video Game,Kinema Citrus,Original,40K,7.13
Suisei no Gargantia Specials,Special,2 eps,24 min ,2013,,"Action,Adventure,Sci-Fi",Mecha,Production I.G,Original,39K,7.19
Z/X: Ignition,TV,12 eps,24 min ,2014,,"Adventure,Fantasy,Sci-Fi",Strategy Game,Telecom Animation Film,Card game,39K,6.49
Koukaku Kidoutai Arise: Ghost in the Shell - Border:4 Ghost Stands Alone,Movie,1 ep,59 min ,2014,,Sci-Fi,Adult Cast,Production I.G,Manga,39K,7.44
Yoake Mae yori Ruriiro na: Crescent Love,TV,12 eps,23 min ,2006,,"Comedy,Romance,Sci-Fi",School,Daume,Visual novel,39K,7.1
KanColle Movie,Movie,1 ep,92 min ,2016,,"Action,Drama,Sci-Fi",Military,Diomedéa,Game,39K,7.49
Nihon Animator Mihonichi,ONA,35 eps,8 min ,2014,,"Action,Avant Garde,Fantasy,Sci-Fi,Supernatural,Ecchi",Mecha,Bridge,Original,39K,7.33
Gilgamesh,TV,26 eps,23 min ,2003,,"Drama,Fantasy,Sci-Fi,Supernatural",,Group TAC,Manga,39K,6.63
RErideD: Tokigoe no Derrida,TV,12 eps,23 min ,2018,,"Action,Drama,Sci-Fi",,Geek Toys,Original,39K,5.69
Kidou Senshi Gundam ZZ,TV,47 eps,24 min ,1986,,"Comedy,Drama,Sci-Fi",Mecha,Sunrise,Original,39K,6.66
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,Special,1 ep,160 min ,2005,Seinen,"Action,Mystery,Sci-Fi",Adult Cast,Production I.G,Manga,39K,8.07
Mardock Scramble: The Second Combustion,Movie,1 ep,64 min ,2011,,"Action,Sci-Fi",Psychological,GoHands,Novel,39K,7.33
Heroman,TV,26 eps,24 min ,2010,Shounen,"Action,Sci-Fi",,Bones,Original,39K,6.81
Towa no Quon 6: Towa no Quon,Movie,1 ep,48 min ,2011,,"Action,Sci-Fi,Supernatural",Super Power,Bones,Original,39K,7.59
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,Special,1 ep,24 min ,2015,Shounen,"Action,Comedy,Sci-Fi",Gag Humor,Sunrise,Manga,39K,8.12
Cannon Busters,ONA,12 eps,24 min ,2019,,"Action,Adventure,Fantasy,Sci-Fi",Mecha,Satelight,Other,38K,6.43
Date A Live V,TV,? eps,0 min , -,,"Comedy,Romance,Sci-Fi",Harem,Unknown,Light novel,38K,N/A
Kidou Senshi Gundam I,Movie,1 ep,140 min ,1981,,"Action,Adventure,Drama,Sci-Fi",Mecha,Sunrise,Original,38K,7.25
Appleseed Saga Ex Machina,Movie,1 ep,104 min ,2007,,"Action,Sci-Fi",Mecha,Digital Frontier,,38K,7.32
"Natsu e no Tunnel, Sayonara no Deguchi",Movie,1 ep,83 min ,2022,,"Drama,Mystery,Sci-Fi",,CLAP,Light novel,38K,7.37
Godzilla 2: Kessen Kidou Zoushoku Toshi,Movie,1 ep,100 min ,2018,,"Action,Adventure,Sci-Fi",,Polygon Pictures,Original,38K,6.55
Tokyo Mew Mew New ♡,TV,12 eps,24 min ,2022,Shoujo,"Fantasy,Romance,Sci-Fi",Mahou Shoujo,Graphinica,Manga,38K,6.6
Hirune Hime: Shiranai Watashi no Monogatari,Movie,1 ep,111 min ,2017,,"Adventure,Fantasy,Sci-Fi",Mecha,Signal.MD,Original,38K,6.84
Guilty Crown: Kiseki - Reassortment,Special,1 ep,48 min ,2012,,"Action,Sci-Fi",Super Power,Production I.G,Original,38K,7.11
Juushinki Pandora,TV,26 eps,23 min ,2018,,Sci-Fi,Mecha,Satelight,Original,38K,6.33
Towa no Quon 2: Konton no Ranbu,Movie,1 ep,48 min ,2011,,"Action,Mystery,Sci-Fi,Supernatural",Super Power,Bones,Original,38K,7.32
Macross Zero,OVA,5 eps,30 min ,2002,,"Action,Adventure,Sci-Fi",Mecha,Satelight,Original,37K,7.51
Taifuu no Noruda,Movie,1 ep,26 min ,2015,,"Award Winning,Drama,Sci-Fi,Supernatural",School,Studio Colorido,Original,37K,6.19
Chobits Recap,Special,1 ep,24 min ,2003,,"Comedy,Drama,Romance,Sci-Fi,Ecchi",,Madhouse,Manga,37K,6.95
Rockman.EXE,TV,56 eps,21 min ,2002,Shounen,"Action,Adventure,Comedy,Sci-Fi",Mecha,Xebec,Game,37K,6.91
Cencoroll Connect,Movie,1 ep,75 min ,2019,,"Action,Sci-Fi",,Think Corporation,Original,37K,7.2
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Movie,1 ep,59 min ,1988,,"Action,Sci-Fi",Adult Cast,Kitty Film Mitaka Studio,Novel,37K,7.88
Yokohama Kaidashi Kikou,OVA,2 eps,29 min ,1998,Seinen,"Sci-Fi,Slice of Life",Iyashikei,Ajia-Do,Manga,37K,7.39
Genius Party,Movie,7 eps,14 min ,2007,,"Action,Avant Garde,Fantasy,Romance,Sci-Fi",Mecha,Studio 4°C,Original,37K,7.15
Muv-Luv Alternative,TV,12 eps,22 min ,2021,,"Action,Drama,Sci-Fi",Mecha,FLAGSHIP LINE,Visual novel,37K,5.78
Bubblegum Crisis Tokyo 2040,TV,26 eps,24 min ,1998,,"Adventure,Sci-Fi",Adult Cast,AIC,Original,37K,7.09
Busou Shinki,TV,12 eps,24 min ,2012,,"Action,Sci-Fi,Slice of Life",Mecha,8bit,Other,37K,6.3
Ou Dorobou Jing,TV,13 eps,24 min ,2002,Shounen,"Adventure,Comedy,Fantasy,Sci-Fi",,Studio Deen,Manga,36K,7.2
Ai no Kusabi,OVA,2 eps,54 min ,1992,,"Boys Love,Drama,Sci-Fi,Erotica",,AIC,Light novel,36K,7.07
Egao no Daika,TV,12 eps,23 min ,2019,,"Action,Drama,Fantasy,Sci-Fi",Mecha,Tatsunoko Production,Original,36K,6.04
Tenkuu Danzai Skelter+Heaven,OVA,1 ep,19 min ,2004,,Sci-Fi,Mecha,Minami Machi Bugyousho,Game,36K,1.85
Senki Zesshou Symphogear XV,TV,13 eps,23 min ,2019,,"Action,Sci-Fi",Idols (Female),Satelight,Original,36K,8.19
Aria the OVA: Arietta,OVA,1 ep,30 min ,2007,Shounen,"Fantasy,Sci-Fi,Slice of Life",Iyashikei,Hal Film Maker,Manga,36K,8
X/1999,Movie,1 ep,97 min ,1996,Shoujo,"Action,Drama,Fantasy,Horror,Sci-Fi,Supernatural",,Madhouse,Manga,36K,6.57
Yingxiong Zai Lin,ONA,12 eps,16 min ,2020,,"Action,Sci-Fi",,Big Firebird Culture,Novel,36K,6.93
Towa no Quon 3: Mugen no Renza,Movie,1 ep,48 min ,2011,,"Action,Sci-Fi,Supernatural",Psychological,Bones,Original,36K,7.43
Final Fantasy: Unlimited,TV,25 eps,24 min ,2001,,"Action,Adventure,Fantasy,Sci-Fi",,Gonzo,Game,36K,6.19
Alien 9,OVA,4 eps,28 min ,2001,,"Horror,Sci-Fi",Psychological,J.C.Staff,Manga,36K,6.71
AKB0048: Next Stage,TV,13 eps,23 min ,2013,,Sci-Fi,Idols (Female),Satelight,Original,36K,7.63
Terra Formars: Bugs 2-hen,OVA,2 eps,26 min ,2014,Seinen,"Action,Horror,Sci-Fi",Gore,LIDENFILMS,Manga,35K,7.16
Shin Tenchi Muyou!,TV,26 eps,23 min ,1997,,"Comedy,Romance,Sci-Fi",Harem,AIC,Original,35K,6.87
Double Decker! Doug & Kirill,TV,13 eps,24 min ,2018,,"Action,Comedy,Sci-Fi",Adult Cast,Sunrise,Original,35K,6.82
Mushikago no Cagaster,ONA,12 eps,28 min ,2020,,"Action,Drama,Sci-Fi",,Studio Kai,Manga,35K,6.47
Kidou Keisatsu Patlabor: On Television,TV,47 eps,24 min ,1989,,"Comedy,Sci-Fi",Detective,Sunrise,Original,35K,7.67
Akanesasu Shoujo,TV,12 eps,23 min ,2018,,"Action,Sci-Fi",School,DandeLion Animation Studio,Original,35K,6.42
Towa no Quon 4: Guren no Shoushin,Movie,1 ep,48 min ,2011,,"Action,Sci-Fi,Supernatural",Super Power,Bones,Original,35K,7.53
Houkago no Pleiades (TV),TV,12 eps,23 min ,2015,,"Action,Sci-Fi",Space,Gainax,Original,35K,6.72
Beatless Final Stage,TV,4 eps,24 min ,2018,,"Action,Drama,Romance,Sci-Fi",,Diomedéa,Light novel,35K,6.8
Uchuu Kaizoku Captain Herlock,TV,42 eps,25 min ,1978,Seinen,"Action,Adventure,Drama,Sci-Fi",Space,Toei Animation,Manga,35K,7.69
NieA Under 7,TV,13 eps,23 min ,2000,,"Comedy,Sci-Fi,Slice of Life",Iyashikei,Triangle Staff,Original,35K,6.86
God Eater Prologue,Special,1 ep,12 min ,2009,,"Action,Fantasy,Sci-Fi",Military,ufotable,Game,35K,6.64
Biohazard: Degeneration,Movie,1 ep,96 min ,2008,,"Action,Horror,Sci-Fi",,Digital Frontier,Game,35K,6.97
Spriggan (ONA),ONA,6 eps,45 min ,2022,Shounen,"Action,Adventure,Sci-Fi",Military,David Production,Manga,35K,6.91
On Your Mark,Music,1 ep,6 min ,1995,,"Drama,Sci-Fi",Music,Studio Ghibli,Music,35K,7.46
Genocyber,OVA,5 eps,30 min ,1994,,"Action,Horror,Sci-Fi",Gore,Artmic,Manga,34K,5.8
Urahara,TV,12 eps,23 min ,2017,,"Comedy,Fantasy,Sci-Fi",Mahou Shoujo,EMT Squared,Web manga,34K,5.76
